ID,Question
A016,"32 歳の男性。右陰囊の腫大を主訴に来院した。 3 か月前から右陰囊の無痛性腫 大を自覚したため受診した。既往歴と家族歴に特記すべきことはない。身長 170 cm、体重 69 kg。体温 36.1 ℃。脈拍 72/分、整。血圧 122/66 mmHg。右精巣に硬 結を触知し圧痛を認めない。血液所見：赤血球 440 万、Hb 13.7 g/dL、Ht 42 %、 白血球 6,000、血小板 30 万。血液生化学所見：LD 302 U/L（基準 124～222）、hCG 0.1 mIU/mL（基準 0.7 以下）、α-フェトプロテイン〈AFP〉5.2 ng/mL（基準 20 以 下）。陰囊部超音波検査で右精巣に長径 5 cm の内部不均一な充実性腫瘤像を認め る。胸腹部造影 CT で最大径 3 cm の後腹膜リンパ節腫大を認める。 まず行うべき対応はどれか。 ａ 経過観察 ｂ 放射線治療 ｃ 精巣の針生検 ｄ 高位精巣摘除術 ｅ 殺細胞性抗癌薬"
A019,"20 歳の男性。胸部不快感と呼吸困難を主訴に来院した。これまでに何度か胸部 不快感を自覚したが、医療機関を受診していなかった。昨日から呼吸困難が出現 し、持続しているため受診した。既往歴に特記すべきことはない。家族歴は父親が 20 歳台で脳静脈洞血栓症を発症。意識は清明。体温 36.2 ℃。脈拍 96/分、整。血 圧 104/68 mmHg。呼吸数 24/分。SpO2 94 %（room air）。心音と呼吸音とに異常を 認めない。腹部は平坦、軟で、肝・脾を触知しない。下肢に軽度の浮腫を認める。 血液所見：赤血球 450 万、Hb 14.5 g/dL、Ht 42 %、白血球 6,200（好中球 62 %、 好酸球 1 %、単 球 5 %、リ ン パ 球 32 %）、血 小 板 22 万、PT-INR 1.0（基 準 0.9～1.1）、活性化部分トロンボプラスチン時間〈APTT〉30 秒（基準対照 32.2）、 血漿フィブリノゲン 288 mg/dL（基準 186～355）、D ダイマー 10 μg/mL（基準 1.0 以 下）。血 液 生 化 学 所 見：総 ビ リ ル ビ ン 1.1 mg/dL、LD 208 U/L（基 準 124～ 222）、尿素窒素 22 mg/dL、クレアチニン 0.6 mg/dL。CRP 0.3 mg/dL。胸部エッ クス線写真で異常を認めない。 直ちに行う検査で適切なのはどれか。 ａ 気管支鏡検査 ｂ 呼吸機能検査 ｃ 頸部超音波検査 ｄ 胸部～下肢造影 CT ｅ 足関節上腕血圧比〈ABI〉"
A025,"28 歳の女性（ 2 妊 1 産）。妊娠 32 週に胎児発育不全を指摘され紹介受診した。妊 娠 10 週に行った妊婦初期検査では血液型 O 型 RhD（＋）、間接 Coombs 試験陰性、 HBs 抗原陰性、HCV 抗体陰性、風疹 HI 抗体価 128 倍、RPR 1 倍未満、TPHA 陰 性、HIV 抗原・抗体陰性であった。妊娠 15 週に感冒様症状が数日続いたが、自然 に軽快したためそのままにしていた。来院時の胎児超音波検査で大横径〈BPD〉 73 mm（－2 SD）、腹囲〈AC〉23 cm、大腿骨長〈FL〉24 mm、推定胎児体重〈EFW〉 1,368 g（－2 SD）、胎児に腹水を認める。 考えられる母子感染症はどれか。 ａ 水 痘 ｂ 梅 毒 ｃ 風 疹 ｄ B 型肝炎 ｅ サイトメガロウイルス感染症"
A029,"25 歳の女性（ 2 妊 0 産）。初経は 12 歳。 4 日前から下腹部痛を自覚したため産科 診療所を受診した。月経周期は 28 日型、整、順。最終月経は 10 日前から 5 日間。 最近 2 年間に 2 回人工妊娠中絶手術を受けた。身長 160 cm、体重 53 kg。体温 37.9 ℃。脈拍 100/分、整。血圧 116/62 mmHg。呼吸数 20/分。腹部は平坦で、下 腹部に反跳痛を認める。内診で子宮は正常大で圧痛を認める。付属器は痛みのため 触知できない。腟鏡診で外子宮口に黄色膿性分泌物を認める。血液所見：赤血球 320 万、Hb 10.3 g/dL、Ht 30 %、白血球 18,300（桿状核好中球 60 %、分葉核好中 球 26 %、好 酸 球 0 %、好 塩 基 球 1 %、リ ン パ 球 13 %）、血 小 板 41 万。CRP 16 mg/dL。妊娠反応検査陰性。経腟超音波検査で左卵管のソーセージ様腫大を認め、 同部が痛みの最強点となっている。 まず投与すべきなのはどれか。 ａ 抗菌薬 ｂ 整腸薬 ｃ 抗ウイルス薬 ｄ GnRH アゴニスト ｅ グルココルチコイド"
A030,67 歳の男性。酩酊状態のため心配した家族に付き添われて来院した。若い頃か ら晩酌が習慣であった。 1 年前の定年退職後から飲酒量が多くなり、最近、食事を 食べずに朝から夜まで飲酒している。家族によると、酔っているとき手や指の振え が止まるという。また、飲酒を控えるように言っても、隠れて酒を買いに行って飲 んでしまうという。身長 173 cm、体重 51 kg。体温 36.8 ℃。脈拍 72/分、整。血 圧 108/78 mmHg。呼吸数 18/分。SpO2 98 %（room air）。アルコール臭があるが、 会話は可能である。眼瞼結膜は軽度貧血様である。眼球結膜に黄染を認めるが、眼 球運動は正常である。心音と呼吸音とに異常を認めない。腹部は平坦、軟で、肝・ 脾を触知しない。断酒と検査目的で入院することとなった。 入院後に投与すべき薬剤はどれか。 ａ 抗酒薬 ｂ レボドパ〈L-dopa〉 ｃ ベンゾジアゼピン系薬剤 ｄ アセチルコリンエステラーゼ阻害薬 ｅ 選択的セロトニン再取り込み阻害薬〈SSRI〉
A031,"84 歳の男性。発熱を主訴に来院した。10 日前から右側胸部の痛みを自覚してい た。 3 日前から発熱が出現したため受診した。 1 年前、脳梗塞により左不全片麻痺 があり、時々食事でむせることがある。意識は清明。身長 162 cm、体重 46 kg。体 温 37.6 ℃。脈拍 104/分、整。血圧 110/66 mmHg。呼吸数 24/分。SpO2 95 %（room air）。残存歯は数本でう歯があり口腔内は乾燥している。心音に異常を認めない。 呼吸音は右下肺野に coarse crackles を聴取する。血液所見：赤血球 436 万、Hb 13.9 g/dL、Ht 42 %、白血球 12,600（好中球 75 %、好酸球 1 %、好塩基球 1 %、単 球 6 %、リンパ球 17 %）、血小板 18 万。CRP 12 mg/dL。胸部エックス線写真で右 下肺野に浸潤影を認める。入院し多職種で連携してこの患者の肺炎治療サポートを 行うことになった。 現時点でかかわらないのはどれか。 ａ 管理栄養士 ｂ 言語聴覚士 ｃ 歯科衛生士 ｄ 理学療法士 ｅ 臨床工学技士"
A032,"70 歳の男性。全身倦怠感を主訴に来院した。 2 週間前から全身倦怠感が出現し 軽快しないため受診した。眼瞼結膜は貧血様で、眼球結膜に黄染を認めない。腹部 は平坦、軟で、肝・脾を触知しない。両下肢に点状出血を認める。血液所見：赤血 球 174 万、Hb 5.4 g/dL、Ht 16 %、網赤血球 1 %、白血球 1,800（分葉核好中球 20 %、好酸球 1 %、単球 2 %、リンパ球 77 %）、血小板 2.2 万。血液生化学所見：総 蛋白 6.2 g/dL、アルブミン 3.2 g/dL、総ビリルビン 0.6 mg/dL、AST 28 U/L、 ALT 34 U/L、LD 140 U/L（基準 124～222）、尿素窒素 12 mg/dL、クレアチニン 0.7 mg/dL。末梢血塗抹標本で赤血球に異常を認めない。骨髄生検では著明な低形 成所見を認める。 治療で適切でないのはどれか。 ａ 血漿交換 ｂ 赤血球輸血 ｃ 抗胸腺細胞グロブリン〈ATG〉投与 ｄ トロンボポエチン受容体作動薬投与 ｅ 顆粒球コロニー刺激因子〈G-CSF〉投与"
A035,"71 歳の男性。肝炎ウイルス検診で「現在、C 型肝炎ウイルスに感染している可能 性が極めて高い」と判定されて受診した。高血圧症でカルシウム拮抗薬を内服して いる。12 歳時に交通事故で輸血を受けた。喫煙歴はない。飲酒は機会飲酒。意識 は清明。脈拍 76/分、整。血圧 132/74 mmHg。眼瞼結膜と眼球結膜とに異常を認 めない。心音と呼吸音とに異常を認めない。腹部は平坦、軟で、肝・脾を触知しな い。血液所見：赤血球 485 万、Hb 14.7 g/dL、白血球 6,300、血小板 16 万。血液 生化学所見：総蛋白 7.3 g/dL、アルブミン 4.5 g/dL、総ビリルビン 0.7 mg/dL、 AST 24 U/L、ALT 28 U/L、γ-GT 36 U/L（基準 13～64）、尿素窒素 12 mg/dL、ク レアチニン 0.5 mg/dL、eGFR 82.8 mL/分/1.73 m2 。免疫血清学所見：HBs 抗原 陰性、HBs 抗体陰性、HBc 抗体陰性、HCV 抗体陽性、HCV-RNA 陽性。腹部超音 波検査で異常を認めない。 第一選択薬はどれか。 ａ インターフェロン ｂ 核酸アナログ製剤 ｃ グルココルチコイド ｄ ウルソデオキシコール酸 ｅ 直接作用型抗ウイルス薬〈direct acting antivirals〉"
A036,64 歳の女性。息苦しさを主訴に来院した。15 年前から高血圧症と糖尿病を指摘 されていたが、医療機関を受診しなかった。 2 か月前に発熱で自宅近くの診療所を 受診し、腎機能障害を指摘された。 3 週間前から食欲がなく果物だけ食べていた。 一昨日の夜間就寝後から息苦しさを自覚したため受診した。意識は清明。身長 166 cm、体重 75 kg（ 2 か月前は 70 kg）。脈拍 92/分、整。血圧 190/110 mmHg。 呼吸数 20/分。SpO2 90 %（room air）。両下肺野に coarse crackles を聴取する。両 下腿に高度の圧痕性浮腫を認める。尿所見：蛋白 3 ＋、糖 2 ＋、潜血（－）。随時尿 の尿蛋白 188 mg/dL、クレアチニン 87 mg/dL。血液所見：赤血球 335 万、Hb 9.0 g/dL、Ht 31 %。血液生化学所見：総蛋白 5.3 g/dL、アルブミン 2.8 g/dL、尿素 窒素 56 mg/dL、クレアチニン 3.9 mg/dL、尿酸 6.8 mg/dL、血糖 263 mg/dL、 HbA1c 8.6 %（基 準 4.9～6.0）、 Na 140 mEq/L、 K 6.7 mEq/L、 Cl 106 mEq/L、 Ca 7.2 mg/dL、P 5.6 mg/dL。胸部エックス線写真で心拡大と肺うっ血を認める。 心電図でテント状 T 波を認める。 この患者にまず投与すべき薬剤はどれか。 ａ SGLT2 阻害薬 ｂ アルブミン製剤 ｃ グルコン酸カルシウム ｄ エリスロポエチン製剤 ｅ アンジオテンシン受容体拮抗薬
A037,7 歳の男児。右前腕の痛みと右手指の運動障害を主訴に母親に連れられて夜間に 来院した。同日午前にブランコから転落して右肘を強打し受診していた。診療記録 によると右肘に腫脹と変形が認められ、エックス線写真で右上腕骨顆上骨折を認 め、徒手整復とシーネ固定を施行していた。帰宅 8 時間後に仏痛が増強し、右手指 の運動ができなくなったため再度受診した。身長 110 cm、体重 19 kg。シーネの包 帯を外して観察すると、右前腕に著しい腫脹を認めた。右手指は自動屈伸ができ ず、他動伸展すると激しい痛みを訴える。橈骨動脈の拍動を触知しない。 この患児への対応で適切なのはどれか。 ａ 筋膜切開 ｂ 牽引治療 ｃ ギプス固定 ｄ 手指の可動域訓練 ｅ 骨折の観血的整復固定
A039,65 歳の女性（ 2 妊 1 産）。乳房のしこりを主訴に来院した。10 年ほど前から左乳 房のしこりを自覚していたが様子をみていた。最近になって痛みが出現したため受 診した。乳癌の家族歴はない。身長 160 cm、体重 60 kg。体温 36.0 ℃。脈拍 80/分、 整。血圧 146/90 mmHg。左乳房に皮膚の陥凹を認め、径 3 cm の腫瘤を触知する。 マンモグラフィでは周囲にスピキュラを伴う高濃度腫瘤陰影と多形性の微細石灰化 像を認めた。 診断はどれか。 ａ 乳 癌 ｂ 乳腺症 ｃ 葉状腫瘍 ｄ 慢性乳腺炎 ｅ 乳腺線維腺腫
A042,21 歳の女性。 2 週間前からの鼻漏、鼻閉およびくしゃみを主訴に来院した。 3 年前の春から鼻漏、鼻閉およびくしゃみを自覚していた。自宅近くの診療所で抗ヒ スタミン薬が処方されていた。症状は一時改善したが、 3 月初旬から症状が悪化し た。両側鼻粘膜は腫脹しており、水様性鼻汁を認めた。鼻汁好酸球検査は陽性。今 の症状をできるだけ早く改善したいと訴えている。 治療で適切なのはどれか。 ａ 抗菌薬内服 ｂ 減感作療法 ｃ 免疫抑制薬内服 ｄ 鼻内レーザー手術 ｅ 副腎皮質ステロイド点鼻
A043,22 歳の女性。頭痛と浮腫を主訴に来院した。 2 週間前から発熱と咽頭痛があり、 自宅近くの診療所で扁桃炎と診断された。一昨日から頭痛および下肢の浮腫が出現 し、次第に増悪したため受診した。これまでに学校と職場の健診で異常を指摘され たことはない。身長 156 cm、体重 45 kg。脈拍 84/分、整。血圧 156/76 mmHg。 顔面に皮疹はない。心音と呼吸音とに異常を認めない。両下腿に浮腫を認める。神 経診察に異常を認めない。尿所見：蛋白 2 ＋、潜血 3 ＋。 この患者で認められる可能性が高いのはどれか。 ａ C3 低下 ｂ IgE 高値 ｃ M 蛋白陽性 ｄ 抗核抗体陽性 ｅ 抗リン脂質抗体陽性
A046,68 歳の男性。就寝中の行動を心配した妻に伴われて来院した。週に数回、就寝 後 1 時間半ほどすると大声をあげ、むっくと起き上がって何かと戦っているような 行動をするようになった。妻が制止すると我に返り「夢を見ていた」と言い、再び就 寝し翌朝には夢の中でのことだったと記憶している。日中の行動異常は全くない。 身体的には体が固く動作が遅くなったといい、物忘れを自覚している。身長 168 cm、体重 60 kg。四肢に筋強剛を認める。Mini-Mental State Examination〈MMSE〉 では 21 点（満点 30）。血液所見、血液生化学所見、脳波および頭部単純 MRI に異 常を認めない。 この患者の睡眠障害はどれか。 ａ 夜間せん妄 ｂ 睡眠時遊行症 ｃ ナルコレプシー ｄ むずむず脚症候群 ｅ レム〈REM〉睡眠行動障害
A049,"An 85-year-old woman was admitted to the hospital with a left femoral neck fracture and was confined to bed rest. On admission, muscle strength and sensation in the left lower limb were normal, but the next day, she was unable to move her left foot upwards. On examination, she was unable to dorsiflex her left ankle, with decreased sensation on the dorsal aspect of her left foot. The left lower limb was externally rotated. Select the most likely cause of her decreased ankle movement. ａ Cerebral infarction ｂ Lumbar disc herniation ｃ Peroneal〈Fibular〉 nerve palsy ｄ Deep vein thrombosis ｅ Achilles tendon rupture"
A052,48 歳の女性。乳がん検診のマンモグラフィで腫瘤を指摘され、精査目的に来院 した。右乳房の上外側区域に径 25 mm の腫瘤を触知する。 次に行う検査はどれか。 ａ 頭部 MRI ｂ 乳房 MRI ｃ 胸部造影 CT ｄ 乳房超音波検査 ｅ 骨シンチグラフィ
A054,73 歳の男性。発熱と頭痛を主訴に来院した。最近疲れやすく、 3 か月間で 3 kg の体重減少があった。 1 か月前から微熱と頭痛が続き、 5 日前から頭痛が強くなっ た。トイレの場所を間違える、真夜中に食事を要求するなどの異常行動に家族が気 付いていたという。意識は混濁。身長 168 cm、体重 59 kg。体温 38.2 ℃。脈拍 92/分、整。血圧 140/92 mmHg。神経診察では項部硬直、右眼の外転障害、右顔 面の運動麻痺を認める。脳脊髄液所見：外観は水様透明。初圧 200 mmH2O（基準 70～170）、細胞数 250/mm（すべて単核球）（基準 3 0 ～ 2 ）、糖（定量）25 mg/dL（基 準 50～75）、蛋白（定量）180 mg/dL（基準 15～45）、アデノシンデアミナーゼ〈ADA〉 15 IU/L（基準 8 以下）。頭部単純 CT で脳室拡大は認めない。 診断はどれか。 ａ 結核性髄膜炎 ｂ 重症筋無力症 ｃ 正常圧水頭症 ｄ 多発性硬化症 ｅ Bell 麻痺
A057,"1 か月の男児。生後 20 日頃から母乳を飲むのに時間がかかるようになったこと を母親が心配し、両親に連れられて自宅近くの小児科診療所を受診した。在胎 40 週、身長 49.5 cm、体重 2,850 g、頭囲 33 cm で、仮死なく出生した。出生後は完 全母乳栄養である。身長 54.0 cm、体重 3,320 g。体温 36.8 ℃。脈拍 124/分、整。 呼吸数 40/分。啼泣時の表情は正常だが、声が小さく舌が細かくぴくぴくと震えて いる。呼吸時に胸部と腹部が交互に上がる。手指の動きは正常だが、四肢を持ち上 げる運動に乏しい。 両親への説明で正しいのはどれか。 ａ 「人工乳に変えましょう」 ｂ 「感冒薬を服用しましょう」 ｃ 「専門の病院に紹介しましょう」 ｄ 「 1 か月後に再受診してください」 ｅ 「うつ伏せにして寝かせましょう」"
A058,"62 歳の女性。出血斑を主訴に来院した。数か月前から四肢の出血斑に気付いた。 最近、前胸部に点状出血が多数出現したため受診した。意識は清明。体温 36.2 ℃。脈拍 68/分、整。血圧 118/72 mmHg。前胸部と四肢に点状出血を認め る。眼瞼結膜と眼球結膜とに異常を認めない。頸部リンパ節を触知しない。心音と 呼吸音とに異常を認めない。腹部は平坦、軟で、肝・脾を触知しない。血液所見： 赤血球 360 万、Hb 11.0 g/dL、Ht 33 %、白血球 5,100（好中球 53 %、好酸球 2 %、 単球 6 %、リンパ球 39 %）、血小板 2.6 万。PT-INR 1.0（基準 0.9～1.1）、活性化 部分トロンボプラスチン時間〈APTT〉30 秒（基準対照 32.2）、血清 FDP 5 μg/mL （基準 10 以下）。血液生化学所見：総ビリルビン 1.0 mg/dL、直接ビリルビン 0.2 mg/dL、LD 210 U/L（基 準 124～222）、尿 素 窒 素 20 mg/dL、ク レ ア チ ニ ン 0.7 mg/dL。末梢血塗抹標本で白血球と赤血球とに異常を認めない。骨髄塗抹標本で 巨核球の軽度増加を認める。造血細胞に形態異常を認めない。 治療方針の決定に有用な検査はどれか。 ａ 尿素呼気試験 ｂ 血小板凝集能検査 ｃ 抗リン脂質抗体検査 ｄ 組織適合抗原〈HLA〉検査 ｅ 抗 ADAMTS-13 抗体検査"
A059,"29 歳の男性。労作時呼吸困難を主訴に来院した。数年前から職場健診で高血圧 と尿検査異常を指摘されていたが、医療機関を受診しなかった。 1 週間前から階段 を昇る際に息切れを自覚したため受診した。意識は清明。身長 172 cm、体重 82 kg。体 温 36.4 ℃。脈 拍 104/分、整。血 圧 228/132 mmHg。呼 吸 数 20/分。 SpO2 96 %（room air）。頸静脈の怒張を認めない。心音と呼吸音とに異常を認めな い。両前脛骨部に圧痕性浮腫を認める。神経診察で異常を認めない。尿所見：比重 1.020、蛋白 3 ＋、潜血 3 ＋、沈渣に変形赤血球を多数認める。血液所見：赤血球 422 万、Hb 13.7 g/dL、Ht 40 %、白血球 9,800、血小板 17 万。血液生化学所見： 総蛋白 6.9 g/dL、アルブミン 3.8 g/dL、尿素窒素 52 mg/dL、クレアチニン 4.0 mg/dL、Na 138 mEq/L、K 2.9 mEq/L、Cl 106 mEq/L。 降圧薬治療の準備中にまず行う検査はどれか。 ａ 頭部 CT ｂ 眼底検査 ｃ 頸動脈エコー検査 ｄ 腹部エックス線撮影 ｅ 足関節上腕血圧比〈ABI〉"
A061,"7 か月の男児。頭部を前屈する動作を心配した両親に連れられて来院した。在胎 40 週、体重 3,020 g で仮死なく出生した。追視・固視を 1 か月、あやし笑いを 2 か月、定頸を 3 か月で認めた。 2 週間前から両上肢を伸展挙上し、頭部を前屈する 動作が出現した。約 10 秒間隔で 10 回以上反復し、次第に毎日みられるようになっ た。同時期からあやし笑いが乏しくなり、寝返りと坐位保持ができなくなった。 可能性が高いのはどれか。 ａ West 症候群 ｂ 欠神てんかん ｃ Lennox-Gastaut 症候群 ｄ 先天性筋強直性ジストロフィー ｅ 福山型先天性筋ジストロフィー"
A062,22 歳の男性。咳嗽を主訴に来院した。 1 週間前から微熱と咳嗽が出現し改善し ないため受診した。両親と弟と同居。 2 週間前に 16 歳の弟が同様の症状で百日咳 と診断されている。昨日から反復性、発作性の咳嗽が持続している。咳は夜間に強 い。意識は清明。体温 37.1 ℃。脈拍 108/分、整。血圧 124/68 mmHg。呼吸数 22/分。SpO2 98 %（room air）。心音と呼吸音とに異常を認めない。 この疾患で正しいのはどれか。 ａ 空気感染する。 ｂ 潜伏期は 2 、 3 日である。 ｃ 痙咳期に呼気喘鳴を聴取する。 ｄ セフェム系抗菌薬が有効である。 ｅ カタル期には核酸増幅検査が診断に有用である。
A063,"72 歳の女性。①尿量の減少を主訴に来院した。 4 日前から嘔吐と下痢があり食 事量が低下していた。 2 日前から全身倦怠感が出現し、今朝から尿量が減少したた め受診した。12 年前から高血圧症で降圧薬を内服している。身長 154 cm、体重 48 kg（ 2 週間前の体重 51 kg）。脈拍 108/分、整。血圧 100/52 mmHg。口腔内は乾 燥している。胸部と腹部の診察で異常を認めない。尿所見：蛋白 1 ＋、潜血（－）、 沈渣に赤血球 1 ～ 3 /HPF、白血球 1 ～ 2 /HPF、円柱はない。尿生化学所見：② 尿 Na 10 mEq/L。血液所見：赤血球 300 万、③Hb 10.0 g/dL、Ht 31 %、白血球 9,200、血小板 35 万。血液生化学所見：尿素窒素 70 mg/dL、④クレアチニン 2.5 mg/dL（ 1 か月前の採血では 0.9 mg/dL）、Na 138 mEq/L、⑤K 5.5 mEq/L、 Cl 98 mEq/L。 下線部のうち、急性腎障害の原因の鑑別に有用なのはどれか。 ａ ① ｂ ② ｃ ③ ｄ ④ ｅ ⑤"
A064,82 歳の男性。転倒して頭部を受傷し脳挫傷と診断された。急性期治療後、回復 期リハビリテーション病棟に入院した。現在、発症後 30 日目である。意識レベル は JCSⅠ-2。血圧 120/78 mmHg。利き手は右。徒手筋力テストで左上下肢は 4 、 右上肢は肘屈曲 1 、手指屈曲 1 、手指伸展 0 、右下肢は股関節屈曲 1 、膝伸展 2 、 足関節背屈 0 であった。右上下肢に中等度の感覚障害を認める。端座位はほぼ自 立。立ち上がり・立位保持には中等度の介助を要する。 現時点で行うべきリハビリテーションはどれか。 ａ 歩行訓練 ｂ 座位訓練 ｃ 階段昇降訓練 ｄ 右手での書字訓練 ｅ 立ち上がり・立位保持訓練
A065,55 歳の男性。嚥下困難を主訴に来院した。 2 年前から右上肢の筋力低下が出現 した。 1 年前から足がつっぱり、つまずきやすくなった。 3 か月前から食事中にむ せることがある。この 1 年間で体重は 3 kg 減少した。意識は清明。身長 168 cm、 体重 55 kg。体温 36.5 ℃。脈拍 80/分、整。血圧 128/72 mmHg。眼球運動に異常 を認めない。構音障害を認める。舌に萎縮を認め、線維束性収縮を認める。四肢遠 位筋に筋力低下と筋萎縮を認める。腱反射は上下肢とも亢進しており、Babinski 徴候は両側陽性。感覚は正常である。 この患者に起こる可能性が高いのはどれか。 ａ 褥 瘡 ｂ 複 視 ｃ 排尿障害 ｄ 呼吸筋麻痺 ｅ 起立性低血圧
B001,医師の指示があっても採血できない職種はどれか。 ａ 看護師 ｂ 助産師 ｃ 保健師 ｄ 薬剤師 ｅ 臨床検査技師
B002,腹部骨盤部の触診で正しいのはどれか。 ａ 肝臓は、双手診で裏面を触知する。 ｂ 膵臓は、深呼気時に触知する。 ｃ 腎臓は、深吸気時に上極を触知する。 ｄ 膀胱は、直腸指診で背側に触知する。 ｅ 前立腺は、直腸指診で腹側に触知する。
B003,2 歳児のけいれんの原因で最も頻度が高いのはどれか。 ａ 急性脳症 ｂ てんかん ｃ 細菌性髄膜炎 ｄ 熱性けいれん ｅ 憤怒けいれん〈泣き入りひきつけ〉
B004,腹膜炎の所見でないのはどれか。 ａ 反跳痛 ｂ 筋性防御 ｃ 打診による圧痛 ｄ 踵下ろし試験陽性 ｅ Courvoisier 徴候陽性
B005,静脈留置針による末梢静脈路の確保手技で誤っているのはどれか。 ａ 穿刺前に皮膚を消毒する。 ｂ 皮膚面に 15～30 度の角度で穿刺する。 ｃ 血液の流出を確認後に内針とカテーテル（外筒）を少し進める。 ｄ 駆血帯を外してから内針を抜去する。 ｅ 抜去した内針はリキャップをする。
B006,インシデントレポートで正しいのはどれか。 ａ 保健所に提出する。 ｂ 改善策の記述を含める。 ｃ 作成するのは患者である。 ｄ 内容を医療機関のホームページで公開する。 ｅ 提出レポート数が少ない医療機関は安全度が高い。
B007,膝関節 MRI の T2 強調像で筋肉より高信号になるのはどれか。 ａ 腱 ｂ 靱 帯 ｃ 関節液 ｄ 骨皮質 ｅ 半月板
B008,正常の頸部診察で触知が困難な組織はどれか。 ａ 顎下腺 ｂ 頸動脈 ｃ 副甲状腺 ｄ 輪状軟骨 ｅ 胸鎖乳突筋
B009,ランダム化比較試験〈RCT〉で正しいのはどれか。 ａ 観察研究である。 ｂ 外的妥当性が高い研究である。 ｃ 未測定の交絡因子に対応できない。 ｄ 有病率の低い疾患の研究に適している。 ｅ 症例対照研究よりエビデンスレベルが高い。
B010,リハビリテーションで誤っているのはどれか。 ａ 発症後早期に開始する。 ｂ 患者の社会参加を支援する。 ｃ 患者の生活機能の改善を目指す。 ｄ 患者の目標を多職種で共有する。 ｅ 患者の機能障害の固定を目標とする。
B011,臨床研究における患者・市民参画で誤っているのはどれか。 ａ 研究初期からパートナーとして参画する。 ｂ 研究で知り得た情報を公開する権利がある。 ｃ 研究対象者の負担が軽減されるように助言する。 ｄ 研究倫理審査委員会へ一般の立場の委員として参加する。 ｅ 研究に関連する文書が分かりやすい表現になるように助言する。
B013,Which of the following clinical conditions occurs in patients acutely after severe burns? ａ polyuria ｂ hyperlipidemia ｃ hypovolemic shock ｄ venous thrombosis ｅ compartment syndrome
B014,飲酒がリスクファクターとならないのはどれか。 ａ 食道癌 ｂ 認知症 ｃ 骨粗鬆症 ｄ Wernicke 脳症 ｅ 慢性閉塞性肺疾患〈COPD〉
B015,高齢者のポリファーマシーの原因で誤っているのはどれか。 ａ 多疾患の併存 ｂ 処方日数の短期化 ｃ 複数医療機関からの処方 ｄ 薬剤自己管理能力の低下 ｅ 医療機関と薬局の連携の欠如
B016,体液量に占める細胞外液量の割合が最も高いのはどれか。 ａ 新生児 ｂ 乳 児 ｃ 幼 児 ｄ 学 童 ｅ 成 人
