ID,Question
12,"27歳の男性。大学院を修了後、商社に就職したが、上司との口論が頻回で6か月ほどで退職。その後、同世代の友人が自分から離れていくたびに「自分には価値がない」と感じ、リストカットを試みることが増えた。一方、大学院生のときは人間関係で大きな問題はなく、成績面でも優秀であった。最近は新しい職場を見つけたが、同僚とちょっとした意見の食い違いがあるたびに怒りが爆発し、あとから強い後悔と不安を覚えて過量服薬を繰り返している。
 
 診断はどれか。
 ａ 双極性障害
 ｂ 統合失調症
 ｃ 自閉スペクトラム症
 ｄ 注意欠如多動性障害〈注意欠如多動症〉
 ｅ パーソナリティ障害〈パーソナリティ症〉"
13,"28 歳の男性。仕事でのストレスが続くようになり、上腹部の痛みと食後の膨満感を訴えて受診した。症状は大学生の頃から時々あったが、ここ数か月はほぼ毎日感じるようになった。体重減少や発熱はなく、既往歴や家族歴に特記すべきことはない。身長 172 cm、体重 65 kg。体温 36.5 ℃。脈拍 68/分、整。血圧 118/72 mmHg。眼瞼結膜に明らかな貧血所見を認めず、心音・呼吸音に異常を認めない。腹部は平坦、軟で圧痛を認めない。血液所見：赤血球 460 万、Hb 14.0 g/dL、Ht 42%、白血球 5,200、血小板 20 万。血液生化学所見：総蛋白 7.5 g/dL、アルブミン 4.2 g/dL、総ビリルビン 0.8 mg/dL、AST 20 U/L、ALT 18 U/L、LD 190 U/L（基準 124～222）、ALP 85 U/L（基準 38～113）、γ-GT 20 U/L（基準 9～32）、アミラーゼ 90 U/L（基準 44～132）、尿素窒素 13 mg/dL、クレアチニン 0.7 mg/dL。CRP 0.2 mg/dL。尿素呼気試験は陰性。上部消化管内視鏡検査では有意な異常を認めない。 この患者に対する治療で用いられないのはどれか。 a 漢方薬 b 抗うつ薬 c 消化管運動機能改善薬 d 酸分泌抑制薬 e NSAID"
14,"28歳の女性。大学卒業後、大手企業に勤務している。入社3年目になってから業務を完璧にこなさなければならないと思い込むようになり、出社前にドアや窓を閉めたかどうかを何度も繰り返し確認しないと落ち着かなくなった。確認に時間がかかり、遅刻することも増えている。自分の行動が過剰であることは理解しているが、不安を抑えることができず、少しでも確認を怠ると不安感が募るという。診察室でも自ら“確認をたくさんしてしまうことがつらい”と訴えている。診断はどれか。
 a パニック障害
 b 強迫性障害〈強迫症〉
 c 全般不安症
 d 社交不安症
 e 心気症"
15,"28歳の女性（1妊0産）。初経は13歳。3日前から下腹部痛があり、微熱（38.2℃）を伴うため産婦人科を受診した。月経周期は28～30日型で規則的。最終月経は11日前から5日間。1年前に人工妊娠中絶を受けた既往がある。身長160cm、体重54kg。脈拍96/分、整。血圧112/68mmHg。呼吸数18/分。下腹部は圧痛と反跳痛があり、内診では子宮は正常大だが後屈し、圧痛が強い。付属器は腫脹が疑われるが痛みにより明瞭に触知できない。腟鏡診で外子宮口から黄白色の膿性帯下が認められた。血液検査では赤血球 325万、Hb 10.5g/dL、Ht 31%、白血球 17,600（桿状核好中球65%、分葉核好中球25%、好酸球0%、好塩基球1%、リンパ球9%）、血小板38万。CRP 14mg/dL。妊娠反応検査は陰性。経腟超音波検査にて右卵管のソーセージ様腫大が認められ、最も痛みが強い部位となっている。
 
 まず投与すべきなのはどれか。
 
 a 抗菌薬
 b 整腸薬
 c 抗ウイルス薬
 d GnRHアゴニスト
 e グルココルチコイド"
16,"29 歳の女性（3 妊 1 産）。妊娠 30 週に胎児水腫を指摘され当院に紹介された。妊娠 12 週に行った妊婦初期検査では、血液型 A 型 RhD（＋）、間接 Coombs 試験陰性、HBs 抗原陰性、HCV 抗体陰性、風疹 HI 抗体価 256 倍、RPR 1 倍未満、TPHA 陰性、HIV 抗原・抗体陰性であった。妊娠 18 週頃に発疹を伴う微熱が数日間続いたが自然軽快し、その後特に症状はなかった。来院時の胎児超音波検査では胎児に腹水と胸水を認め、胎児発育不全も疑われた。
 
 考えられる母子感染症はどれか。
 
 ａ パルボウイルス B19 感染症
 ｂ サイトメガロウイルス感染症
 ｃ 風疹
 ｄ トキソプラズマ感染症
 ｅ B 型肝炎"
17,"29 歳の男性。最近になって普段と異なる行動が目立つようになり、父親に付き添われて精神科を受診した。
 
 現病歴 ： 2 か月前から気分が落ち込み、職場の産業医の勧めで近隣の内科を受診し、抗うつ薬の服薬を開始した。1 週間ほど前からは夜更かしをしてゲームや電話を続け、ほとんど眠っていない様子がみられるようになった。翌朝も出勤はしているが、同僚や顧客と些細なことで頻繁に口論をするようになった。抗うつ薬は医師の指示どおりに服用していた。
 
 既往歴 ： 特記すべきことはない。
 生活歴 ： 両親と 3 人暮らし。大学卒業後、現在の会社に 4 年勤務している。喫煙歴はない。飲酒はときどき。
 家族歴 ： 特記すべきことはない。
 現 症 ： 意識は清明。多弁で気分が高揚している印象を受ける。身長 175 cm、体重 68 kg。体温 36.5 ℃。脈拍 78/分、整。血圧 112/70 mmHg。呼吸数 16/分。SpO2 98 %（room air）。神経学的所見に特記すべき異常は認めない。
 
 44 この患者への説明で正しいのはどれか。
 ａ 「転職を具体的に検討しましょう」
 ｂ 「薬の変更を考える必要がありそうです」
 ｃ 「精神的な問題ではないと考えられます」
 ｄ 「今はしばらく様子をみるだけにしましょう」
 ｅ 「元気なうちにやりたいことをすべて済ませておきましょう」"
18,"29歳の経産婦（2妊1産）。妊娠39週2日において、午前2時より規則的な子宮収縮を自覚し入院した。前回分娩において特記すべき合併症はなかった。身長150cm、体重55kg。入院時の内診所見は子宮口開大度3cm、展退度50%、先進部は児頭、SP -2cm。入院時の胎児心拍数陣痛図に異常所見はなく、約4分ごとの陣痛を認めた。午後1時に子宮口は全開大し、分娩第2期に入った。母体は2時間いきみを継続したが、午後3時の内診所見で児頭下降度 SP +2、および0時方向に小泉門を触知した。破水はまだ認められない。その時点での胎児心拍数陣痛図で遅発一過性徐脈を認めた。この場合の対応で最も適切なのはどれか。
 
 ａ 吸引分娩
 ｂ 帝王切開
 ｃ 抗菌薬投与
 ｄ 子宮収縮薬投与
 ｅ 子宮収縮抑制薬投与"
19,"2群間における平均睡眠時間を比較するときに用いる統計解析手法はどれか。
 ａ t 検定
 ｂ χ2 検定
 ｃ 生存分析
 ｄ カプランマイヤー法
 ｅ ロジスティック回帰"
20,"2歳の男児。2日前に突然38℃台の発熱を認めた。発熱は継続し、今朝になっ て体温が平熱に戻ったが、体幹を中心に淡い紅色斑が出現し、次第に顔面や四肢 にも広がってきたという。咳や鼻汁などの呼吸器症状は認めない。いちご舌はみ られず、手のひらや足底にも目立った変化はない。母親によると、これまでに大 きな病気にかかったことはなく、定期予防接種もすべて受けている。最も考えら れる診断はどれか。 
 a 突発性発疹 
 b 風疹 
 c 麻疹 
 d 手足口病 
 e 猩紅熱"
21,"3 か月の男児。生後 1 か月の時に心室中隔欠損症（VSD）と診断され、定期受診のために来院した。母親によると以前より哺乳量が減少し、体重増加はゆっくりとなっている。身長 59.0 cm、体重 5,100 g。体温 36.8 ℃、脈拍 160/分、整。血圧 85/60 mmHg。呼吸数 50/分。毛細血管再充満時間は 1 秒で、SpO2 は 97％（room air）。肋間に陥没呼吸を認める。心音では胸骨左縁第 4 肋間を最大点とする Levine 4/6 の汎収縮期雑音を聴取し、第 II 音の亢進も認められる。胸部では両側に wheezes を聴き、腹部所見では右肋骨弓下に肝を 2 cm 触知する。心エコー検査では、径 6 mm の VSD による多量の左右シャントを認め、左心系の容量負荷増大が示唆された。左心室の収縮能は比較的保たれているが、心不全徴候が進行しつつある。早期に外科的治療を行う方針となった。\n\nこの患児に対する適切な初期対応はどれか。\nａ 酸素吸入\nｂ 利尿薬の投与\nｃ β 遮断薬の投与\nｄ ドパミンの投与\nｅ 肺血管拡張薬の投与"
22,30 歳の初妊婦（1 妊 0 産）。妊娠 32 週 2 日、軽度の頭痛を自覚し受診した。これまで妊娠初期から自宅近くの産科診療所にて妊婦健康診査を受けていたが、帰省先で頭痛が続いたため不安になり実家近くの医療機関を初めて受診したという。来院時、自覚する頭痛は軽度であり、性器出血や腹部痛はない。意識は清明。身長 160 cm、体重 76 kg（非妊時 60 kg）。体温 36.8 ℃。脈拍 78/分、整。血圧 138/88 mmHg。呼吸数 16/分。腹部は子宮底の高さ相当で軟、圧痛なし。下腿に軽度の圧痕を認める。内診と経腟超音波検査で異常を認めない。母子健康手帳の記録によれば、妊婦健康診査は 12 週、16 週、20 週、24 週、28 週、32 週と受診している。\n\nこの妊婦に対する評価で適切なのはどれか。\n\na 妊娠糖尿病である。\nb 胎児発育不全である。\nc 体重増加量は適切である。\nd 妊娠高血圧症候群である。\ne 妊婦健康診査の受診間隔は適切である。
23,"30 歳の女性。主訴は手指の冷感と硬化感。6 か月前から寒冷環境で手指が蒼白化し、次第にチアノーゼ、そして反応性の発赤を経て元の色調に戻るようになった。最近は顔面や体幹部の皮膚まで硬くなり、表情が乏しくなってきた。また労作時の息切れを自覚するようになった。意識は清明。体温 37.2 ℃。脈拍 72/分、整。血圧 118/68 mmHg。顔面・体幹部の皮膚に硬化を認め、手指の腫脹と皮膚硬化も著明である。肺野に捻髪音を聴取するが、心音に異常を認めない。尿所見：蛋白（－）、糖（－）、潜血（－）。血液所見：赤血球 435 万、Hb 13.2 g/dL、Ht 40 %、白血球 5,400（桿状核好中球 4 %、分葉核好中球 60 %、好酸球 3 %、好塩基球 1 %、単球 8 %、リンパ球 24 %）、血小板 23 万。血液生化学所見：総蛋白 7.1 g/dL、アルブミン 4.1 g/dL、AST 28 U/L、ALT 25 U/L、クレアチニン 0.8 mg/dL、CK 46 U/L（基準 41～153）、CRP 0.3 mg/dL。肺機能検査では拡散能の低下が認められた。胸部 X 線写真では肺野に軽度の線維化像を認める。 
 この患者で陽性となる自己抗体はどれか。 
 ａ 抗 Sm 抗体 
 ｂ 抗ミトコンドリア抗体 
 ｃ 抗 CCP 抗体 
 ｄ 抗 Scl-70 抗体 
 ｅ 抗 Jo-1 抗体"
24,"30 歳の男性。1 週間前から元気がなく、3 日前から尿量の減少に気づいた。昨日から下肢のむくみが気になるようになり受診した。生来健康である。身長 175 cm、体重 72 kg。脈拍 68/分、整。血圧 110/68 mmHg。顔面と両下肢に浮腫を認める。心肺に異常所見はない。尿所見：蛋白 3＋、潜血（－）、蛋白定量 1,320 mg/dL（基準 15～45）、クレアチニン定量 64 mg/dL。血液所見：赤血球 620 万、Hb 18.8 g/dL、Ht 52％。血液生化学所見：総蛋白 4.0 g/dL、アルブミン 1.4 g/dL、尿素窒素 38 mg/dL、クレアチニン 1.6 mg/dL、尿酸 7.2 mg/dL、総コレステロール 480 mg/dL、Na 130 mEq/L、K 4.5 mEq/L、Cl 102 mEq/L。次に行うべき検査はどれか。 a) 膀胱鏡検査 b) 腹部エックス線撮影 c) 腹部造影CT d) レノグラム e) 腹部超音波検査"
25,30歳の女性。2週間前から前頭部を中心とした拍動性頭痛と視界のかすみが続き、近所のクリニックで測定したところ血圧が200/120 mmHgと高値であった。これまで医療機関にかかったことはなく、高血圧を指摘されたことはないという。身長158cm、体重67kg。脈拍96/分、整。体温36.5℃。眼球結膜に貧血所見はなく、両肺野にラ音を認めない。神経学的に明らかな異常や意識障害はない。尿所見：蛋白2＋、潜血2＋。血液所見：赤血球390万、Hb12.0g/dL、Ht35%、白血球9700、血小板20万。血液生化学所見：尿素窒素48mg/dL、クレアチニン3.2mg/dL、Na139mEq/L、K3.0mEq/L、Cl108mEq/L。降圧薬治療の準備中にまず行う検査はどれか。\na 頭部CT\nb 眼底検査\nc 腹部CT\nd 頸動脈エコー検査\ne 足関節上腕血圧比(ABI)
26,"34 歳の女性。持続する咳嗽を主訴に来院した。約 2 週間前から軽い発熱と咳が出始め、改善しないため受診した。夫と 2 人暮らしで、1 週間前に小学 3 年生の娘が百日咳と診断されている。患者は 3 日前から反復性かつ発作的な咳嗽が顕著となり、咳込みのあとに吸気性の笛声様喘鳴がみられる。夜間に咳がひどくなるという。意識は清明。体温 37.3℃。脈拍 92/分、整。血圧 118/70 mmHg。呼吸数 20/分。SpO2 98%（room air）。心音・呼吸音に異常はなく、呼吸困難を訴えることもない。この疾患で正しいのはどれか。
 
 ａ 空気感染が主な感染経路である。
 ｂ 潜伏期は 2 ～ 5 日である。
 ｃ 発作咳期に呼気性喘鳴が聴取される。
 ｄ ペニシリン系抗菌薬が第一選択である。
 ｅ カタル期に核酸増幅検査が診断に有用である。"
27,"35 歳の女性。交通外傷のため救急車で搬入された。自動車運転中に道路脇のガードレールに接触し、左季肋部を強打した。意識は清明で、到着時のバイタルサインは心拍数 110/分、整、血圧 100/60 mmHg、呼吸数 20/分、SpO2 97％（マスク酸素 6 L/分投与下）であった。胸部および骨盤単純 X 線写真に明らかな骨折は認めなかったが、FAST（Focused Assessment with Sonography for Trauma）にて脾周囲に液体貯留を認めた。
 
 血液所見：
 赤血球 360 万、Hb 10.2 g/dL、Ht 31％、白血球 14,000（桿状核好中球 3％、分葉核好中球 75％、好酸球 2％、好塩基球 1％、単球 4％、リンパ球 15％）、血小板 18 万。
 
 血液生化学所見：
 総蛋白 6.2 g/dL、アルブミン 3.8 g/dL、AST 38 U/L、ALT 40 U/L、LD 200 U/L（基準 124～222）、尿素窒素 22 mg/dL、クレアチニン 0.9 mg/dL、Na 140 mEq/L、K 3.8 mEq/L、Cl 106 mEq/L。CRP 0.3 mg/dL。
 
 直ちに輸液を開始し、造影 CT を施行したところ脾臓に損傷を認めたため、選択的脾動脈塞栓術を行った。しかし術後も血圧は 90/50 mmHg と低値が持続し、輸血を行っても改善しない。
 
 次に行うべき治療で最も適切なのはどれか。
 
 ・ａ 開腹脾摘除術
 ・ｂ セリフォード手技
 ・ｃ 胸腔ドレナージ
 ・ｄ 洞静脈ステント留置
 ・ｅ 経皮的脾嚢胞ドレナージ"
28,"35 歳の女性（2 妊 0 産）。激しい下腹部痛を主訴に救急外来を受診した。月経周期は 28 日型で整。最終月経は 6 週間前。性器出血は認めない。意識は清明。体温 36.8 ℃、心拍数 112/分、整、血圧 84/56 mmHg、呼吸数 18/分、SpO2 98%（room air）。腹部はやや膨隆し左下腹部に圧痛と反跳痛を認める。妊娠反応陽性。腹部超音波検査では Morrison 窩および Douglas 窩に低輝度の液体貯留を認める。経腟超音波検査では子宮内に明らかな胎嚢を認めず、左付属器領域に不整形の低エコー領域を認める。この患者への対応として適切なのはどれか。 
 
 ａ 緊急手術 
 ｂ 子宮鏡検査 
 ｃ 子宮動脈塞栓術 
 ｄ 1 週間経過観察 
 ｅ 葉酸代謝拮抗薬投与"
29,35 歳の男性。1 週間前から両側の頸部リンパ節が腫れてきたため受診した。発熱や体重減少はなく、盗汗も訴えていない。妻は 2 か月前に外陰部に硬い無痛性の潰瘍を自覚し、治療を受けている。身長 170 cm、体重 65 kg。体温 36.5 ℃、脈拍 76/分、血圧 112/70 mmHg。咽頭痛はなく、口腔内にも有痛性病変を認めない。両側頸部に径 3 cm 前後の可動性良好で弾性硬のリンパ節をそれぞれ 1 個ずつ触知する。手掌と足底には赤色の小丘疹を多発しており、融合傾向もみられる。肝・脾の腫大は触知しない。最も適切な治療薬はどれか。 a 抗真菌薬 b 抗ウイルス薬 c セフェム系薬 d ペニシリン系薬 e カルバペネム系薬
30,"37歳の経産婦（3妊2産）。妊娠40週5日、朝8時に破水感を自覚して来院した。妊娠経過に特に異常所見はなかった。腟鏡診で少量の羊水流出を確認した。内診所見では子宮口は2cm開大、展退度は50％、硬度は中等度、児頭下降度はSP－3cmであった。入院管理とし、
 
 1．午前11時、6分間隔の規則的な子宮収縮を認める。
 2．午後5時、子宮口は8cm開大、展退度100％。
 3．児頭は顔面を母体背中側に向けるように回旋した。
 4．児娩出時に後肩が先に娩出され、続いて前肩が娩出した。
 5．児娩出7分後に胎盤が自然排出された。
 
 下線部のうち、異常な分娩経過はどれか。
 
 - a ①
 - b ②
 - c ③
 - d ④
 - e ⑤"
31,38歳の女性。帯下の増加を主訴に来院した。月経周期は28日型、整、持続5日間。2か月前から新しいパートナーと同居を開始。身長158cm、体重55kg。体温36.5℃。脈拍76/分、整。内診では子宮に異常を認めず、両側付属器にも圧痛や腫脹はないが、子宮頸管より比較的多量の粘性帯下を認める。腟鏡診では頸管に発赤があり、帯下は黄白色でやや濁っている。診断に有用な検査はどれか。\n\n- a 血清 CA125\n- b 腟分泌物鏡検\n- c コルポスコピー\n- d 子宮頸管分泌物 Gram 染色\n- e MRI 骨盤造影
32,"43 歳の女性。交通事故でバイク運転中に対向車と衝突し、左胸部を強打して救急搬送 された。主訴は左胸部痛と呼吸困難。意識清明。体温 35.8 ℃。心拍数 110/分、整。血圧 85/55 mmHg。呼吸数 30/分。SpO2 85%（リザーバー付きマスク 10 L/分酸素投与下）。両側の瞳孔径は 3 mm で対光反射は正常。口腔内分泌物は認めない。毛細血管再充満時間 4 秒。皮膚は冷汗をかき湿潤している。頸静脈の怒張を認める。左胸部は視診で膨隆、触診で皮下気腫、打診で鼓音、聴診で呼吸音の著明な減弱を認める。心音に異 常はなく、右胸部の呼吸音は保たれている。直ちに行うべき治療はどれか。 
 ａ 胸腔穿刺
 ｂ 心嚢穿刺
 ｃ 昇圧薬の投与
 ｄ 乳酸リンゲル液の緩徐投与
 ｅ 非侵襲的陽圧換気（NPPV）"
33,"45 歳の男性。1 か月前に自宅リビングの床材をフローリングに変更してから、鼻水や目のかゆみなどの症状が目立つようになった。さらに、窓を閉め切っていると症状が増悪するが、こまめに換気をすると症状が軽減する。雨の日は症状がやや強く出るという。この症状の原因と考えられる化学物質はどれか。
 
 a オゾン
 b ホルムアルデヒド
 c 二酸化硫黄
 d フロンガス
 e アセトアルデヒド"
34,"45歳の男性。会社の健康診断で血糖値の上昇を指摘された。自覚症状は特にない。身長 172 cm、体重 78 kg。脈拍 68/分、整。血圧 132/84 mmHg。皮膚や頭頸部、胸腹部の診察で異常所見を認めない。四肢に浮腫を認めない。
 
 尿所見：蛋白（－）、糖（－）、ケトン体（－）。血液生化学所見：AST 26 U/L、ALT 40 U/L、空腹時血糖 124 mg/dL、HbA1c 6.5 %（基準 4.9～6.0）、総コレステロール 270 mg/dL、トリグリセリド 200 mg/dL、HDL コレステロール 35 mg/dL、尿素窒素 16 mg/dL、クレアチニン 0.8 mg/dL、Na 138 mEq/L、K 4.4 mEq/L、Cl 100 mEq/L。
 
 この患者の病態の評価に有用な検査値はどれか。
 
 - a インスリン
 - b グルカゴン
 - c コルチゾール
 - d 成長ホルモン〈GH〉
 - e 遊離サイロキシン〈FT4〉"
